s,label,comment
http://psi.udir.no/ontologi/kl06/Opplaeringsfag,Teaching subject,Strukturelt element for å angi hva en gruppe elever/lærlinger/praksiskandidater/deltakere på et gitt årstrinn skal undervises i
http://psi.udir.no/ontologi/kl06/Opplaeringsnivaa,Opplærignsnivå,"Egenskap for læreplan, fagtype og fag- og vitnemålsmerknader for å angi hvilke(t) opplæringsnivå den gjelder for"
http://psi.udir.no/ontologi/kl06/Opplaeringsnivaa,Opplærignsnivå,"Property for ""laereplan"" (curriculum), ""fagtype"" (subject type) and ""merknad"" (notice) to specify which teaching level it applies"
http://psi.udir.no/ontologi/kl06/Opplaeringsnivaa,Teaching level,"Egenskap for læreplan, fagtype og fag- og vitnemålsmerknader for å angi hvilke(t) opplæringsnivå den gjelder for"
http://psi.udir.no/ontologi/kl06/Opplaeringsnivaa,Teaching level,"Property for ""laereplan"" (curriculum), ""fagtype"" (subject type) and ""merknad"" (notice) to specify which teaching level it applies"
http://psi.udir.no/ontologi/kl06/Opplaeringssted,Opplaeringssted,"Egenskap for programområde for å angi hvor opplæringen skjer, enten i ""Skole"" eller ""Bedrift"""
http://psi.udir.no/ontologi/kl06/Opplaeringssted,Place of training,"Egenskap for programområde for å angi hvor opplæringen skjer, enten i ""Skole"" eller ""Bedrift"""
http://psi.udir.no/ontologi/kl06/Ordforklaring_lk20,Glossary entity,"Element containing an educational text that is not part of the prescriptive text, but written by the curriculum authors or those who manage the curriculum to explain a word or phrase"
http://psi.udir.no/ontologi/kl06/Ordforklaring_lk20,Glossary entity,"Element som inneholder en pedagogisk tekst som ikke er en del av forskrifsteksten, men skrevet av læreplanforfatterne eller de som forvalter læreplanen for å forklare et ord eller uttrykk"
http://psi.udir.no/ontologi/kl06/Ordforklaring_lk20,Ordforklaring,"Element containing an educational text that is not part of the prescriptive text, but written by the curriculum authors or those who manage the curriculum to explain a word or phrase"
http://psi.udir.no/ontologi/kl06/Ordforklaring_lk20,Ordforklaring,"Element som inneholder en pedagogisk tekst som ikke er en del av forskrifsteksten, men skrevet av læreplanforfatterne eller de som forvalter læreplanen for å forklare et ord eller uttrykk"
http://psi.udir.no/ontologi/kl06/Programfag,Programfag,Delmengde av læreplan for inndeling av det faglige innholdet i logiske blokker for læreplaner som har programfag i stedet for hovedområder
http://psi.udir.no/ontologi/kl06/Programfag,Programfag,Part of curriculum for division of the academic content into logical blocks for curricula having Programfag (Programme-subject) in stead of Hovedomraade (Main-subject)
http://psi.udir.no/ontologi/kl06/Programfag,Programme subject,Delmengde av læreplan for inndeling av det faglige innholdet i logiske blokker for læreplaner som har programfag i stedet for hovedområder
http://psi.udir.no/ontologi/kl06/Programfag,Programme subject,Part of curriculum for division of the academic content into logical blocks for curricula having Programfag (Programme-subject) in stead of Hovedomraade (Main-subject)
http://psi.udir.no/ontologi/kl06/Programomraade,Programme area,"Adopted package of subjects with a given total teaching hours for a year, and taken under an education programme"
http://psi.udir.no/ontologi/kl06/Programomraade,Programme area,"Fastsatt pakke av fag, med et gitt samlet årstimetall, og som tas under et utdanningsprogram"
http://psi.udir.no/ontologi/kl06/Programomraade,Programområde,"Adopted package of subjects with a given total teaching hours for a year, and taken under an education programme"
http://psi.udir.no/ontologi/kl06/Programomraade,Programområde,"Fastsatt pakke av fag, med et gitt samlet årstimetall, og som tas under et utdanningsprogram"
http://psi.udir.no/ontologi/kl06/Programomraadetype,Programme area type,"Instance of ""programomraadetype"" (programme area type), either ""Bedrift(Lærling)"" (company/enterprise (Apprentice)), ""Skole(Elev)"" (School (Pupil)) or ""Særløp"" (special pathway)"
http://psi.udir.no/ontologi/kl06/Programomraadetype,Programme area type,"Instans av programområdetype, enten Bedrift(Lærling), Skole(Elev) eller Særløp"
http://psi.udir.no/ontologi/kl06/Programomraadetype,Programområdetype,"Instance of ""programomraadetype"" (programme area type), either ""Bedrift(Lærling)"" (company/enterprise (Apprentice)), ""Skole(Elev)"" (School (Pupil)) or ""Særløp"" (special pathway)"
http://psi.udir.no/ontologi/kl06/Programomraadetype,Programområdetype,"Instans av programområdetype, enten Bedrift(Lærling), Skole(Elev) eller Særløp"
http://psi.udir.no/ontologi/kl06/Semester,Semester,"Tidsperiode som viser til et konkret skolesemester i et gitt skoleår, f.eks. vår 2016"
http://psi.udir.no/ontologi/kl06/Semester,Semester,"Time that refer to a specific school term in a given school year, for example. spring 2016"
http://psi.udir.no/ontologi/kl06/Semester,Semester,"Tidsperiode som viser til et konkret skolesemester i et gitt skoleår, f.eks. vår 2016"
http://psi.udir.no/ontologi/kl06/Semester,Semester,"Time that refer to a specific school term in a given school year, for example. spring 2016"
http://psi.udir.no/ontologi/kl06/Sensur,Censorship-arrangement,Element som brukes som egenskap for fagkode for å angi om sensuren er administrert sentralt eller lokalt
http://psi.udir.no/ontologi/kl06/Sensur,Censorship-arrangement,"Element, used as property for ""fagkode"" (subject code) to specify whether the censorship is managed centrally or locally"
http://psi.udir.no/ontologi/kl06/Sensur,Sensur,Element som brukes som egenskap for fagkode for å angi om sensuren er administrert sentralt eller lokalt
http://psi.udir.no/ontologi/kl06/Sensur,Sensur,"Element, used as property for ""fagkode"" (subject code) to specify whether the censorship is managed centrally or locally"
http://psi.udir.no/ontologi/kl06/Sluttkompetanse,Final competence,"Egenskap for programområde for å angi om eleven/lærlingen eller praksiskandidaten oppnår studiekompetanse, yrkeskompetanse eller et fag- eller svennebrev etter endt utdanning"
http://psi.udir.no/ontologi/kl06/Sluttkompetanse,Final competence,"Property for program area to indicate whether the pupil/apprentice or practice candidate obtains university and college admissions certification, vocational qualifications or a trade certificate or journeyman's certificate after graduation"
http://psi.udir.no/ontologi/kl06/Sluttkompetanse,Sluttkompetanse,"Egenskap for programområde for å angi om eleven/lærlingen eller praksiskandidaten oppnår studiekompetanse, yrkeskompetanse eller et fag- eller svennebrev etter endt utdanning"
http://psi.udir.no/ontologi/kl06/Sluttkompetanse,Sluttkompetanse,"Property for program area to indicate whether the pupil/apprentice or practice candidate obtains university and college admissions certification, vocational qualifications or a trade certificate or journeyman's certificate after graduation"
http://psi.udir.no/ontologi/kl06/Spraak,Language,Class to manage languages for this resource
http://psi.udir.no/ontologi/kl06/Spraak,Language,Klasse for å holde på språk for løsningen
http://psi.udir.no/ontologi/kl06/Spraak,Språk,Class to manage languages for this resource
http://psi.udir.no/ontologi/kl06/Spraak,Språk,Klasse for å holde på språk for løsningen
http://psi.udir.no/ontologi/kl06/Spraaknivaa,Language level,"Element for fagkode (Subject-code) that are language subjects, and which indicate levels according to the CEFR framework"
