s,label,comment
http://psi.udir.no/ontologi/kl06/vurderingsordning-type-eksamensordning-elev,"examination and assesment, type of examination arrangement, pupil","Property for ""fagkode"" (subject code) to specify what type of ""ekamensordning"" (examination arrangement) applicable to pupils/students"
http://psi.udir.no/ontologi/kl06/vurderingsordning-type-eksamensordning-elev,"vurderingsordning, type eksamensordning, elev",Egenskap for fagkode for å angi hvilken eksamensordning som gjelder for elever
http://psi.udir.no/ontologi/kl06/vurderingsordning-type-eksamensordning-elev,"vurderingsordning, type eksamensordning, elev","Property for ""fagkode"" (subject code) to specify what type of ""ekamensordning"" (examination arrangement) applicable to pupils/students"
http://psi.udir.no/ontologi/kl06/vurderingsordning-type-eksamensordning-privatist,"examination and assesment, type of examination arrangement, external candidate",Egenskap for fagkode for å angi hvilken eksamensordning som gjelder for elever
http://psi.udir.no/ontologi/kl06/vurderingsordning-type-eksamensordning-privatist,"examination and assesment, type of examination arrangement, external candidate","Property for ""fagkode"" (subject code) to specify what type of ""ekamensordning"" (examination arrangement) applicable to external candidates"
http://psi.udir.no/ontologi/kl06/vurderingsordning-type-eksamensordning-privatist,"vurderingsordning, type eksamensordning, privatist",Egenskap for fagkode for å angi hvilken eksamensordning som gjelder for elever
http://psi.udir.no/ontologi/kl06/vurderingsordning-type-eksamensordning-privatist,"vurderingsordning, type eksamensordning, privatist","Property for ""fagkode"" (subject code) to specify what type of ""ekamensordning"" (examination arrangement) applicable to external candidates"
http://psi.udir.no/ontologi/kl06/vurderingsordning-vurderingsuttrykk-elev,"examination and assesment, expression-of-assessment, pupil",Egenskap for fagkode for å angi om det skal gis tallkarakterer eller om det skal benyttes andre uttrykk for vurderingen for elever
http://psi.udir.no/ontologi/kl06/vurderingsordning-vurderingsuttrykk-elev,"examination and assesment, expression-of-assessment, pupil","Property for ""fagkode"" (subject code) to specify whether it should be given numerical grades or whether to use other expressions of assessment for pupils/students"
http://psi.udir.no/ontologi/kl06/vurderingsordning-vurderingsuttrykk-elev,"vurderingsordning, vurderingsuttrykk, elev",Egenskap for fagkode for å angi om det skal gis tallkarakterer eller om det skal benyttes andre uttrykk for vurderingen for elever
http://psi.udir.no/ontologi/kl06/vurderingsordning-vurderingsuttrykk-elev,"vurderingsordning, vurderingsuttrykk, elev","Property for ""fagkode"" (subject code) to specify whether it should be given numerical grades or whether to use other expressions of assessment for pupils/students"
http://psi.udir.no/ontologi/kl06/vurderingsordning-vurderingsuttrykk-privatist,"examination and assesment, expression of assessment, external candidate",Egenskap for fagkode for å angi om det skal gis tallkarakterer eller om det skal benyttes andre uttrykk for vurderingen for privatister
http://psi.udir.no/ontologi/kl06/vurderingsordning-vurderingsuttrykk-privatist,"examination and assesment, expression of assessment, external candidate","Property for ""fagkode"" (subject code) to specify whether it should be given numerical grades or whether to use other expressions of assessment for external candidates"
http://psi.udir.no/ontologi/kl06/vurderingsordning-vurderingsuttrykk-privatist,"vurderingsordning, vurderingsuttrykk, privatist",Egenskap for fagkode for å angi om det skal gis tallkarakterer eller om det skal benyttes andre uttrykk for vurderingen for privatister
http://psi.udir.no/ontologi/kl06/vurderingsordning-vurderingsuttrykk-privatist,"vurderingsordning, vurderingsuttrykk, privatist","Property for ""fagkode"" (subject code) to specify whether it should be given numerical grades or whether to use other expressions of assessment for external candidates"
